asin,name,rating,date,verified,title,body,helpfulVotes
B079QH9GG,Gizzmo_Man,1.0,"November 6, 2018",true,"Fast, one of the best Android based streamers",(5) Upgraded Audio from Dolby Audio to Dolby Atmos,49
006297070,Anondroid,4.9,"November 26, 2019",true,Optimal entertainment,My offspring and I have enjoyed the inhabitants of the strange planet since I saw the first humor box on the electronic communication device. Now I can enjoy this ink on perished trees. I will proudly display this on my primary flat surface.,22
006297070,mer,5.0,"November 21, 2019",true,There's a reason these comics are all over the Internet,"I don't know how to describe these comics. If you haven't seen at least one ""Strange Planet"" comic, I don't know how you've made it this far on the Internet. The way the author puts normal interactions into such an odd perspective is genius. Words take on new meanings, every day items have descriptive names, and old rhymes, sayings, and traditions are twisted into a strange and literal language of their own while still making sense. Impossible to hate, and impossible not to quote.",2
006297070,Anondroid,3.0,"November 26, 2019",true,Great value for anyone who likes the series!,fantastic work! Really a delight from cover to cover. We have been following the Strange Planet series and were thrilled a book was coming out so we pre-ordered it and were 100% satisfied with it. My only sadness is it was too short! I hope another comes out soon!,0
006297070,Scott Ryman,5.0,"November 25, 2019",true,So Funny!,"I have been following Nathan W Pyle on Instagram and Facebook for a long time now and was very excited when I found out about this book. I preordered it immediately and just received it the day after it’s release. I was not disappointed, it was exactly as I expected. I will buy anymore books that he writes.",0
006297070,annied01,5.0,"November 27, 2019",true,Love it,"If you're a fan of the comics on Instagram, this is a must. There is recycling of old comics, with new, not yet seen online (as of December 1st, 2019). If you know someone who loves to joke about the mundane, or likes introspection, this would make a great gift. I appreciate ya Nathan.",0
006297070,Natalie,5.0,"November 22, 2019",true,"A bit small, but a good book.","The physical dimensions of this book are rather small, but the humour contained therein is quite good.  A look at social conventions through an outside perspective.",0
006297070,Adam,5.0,"December 1, 2019",true,Perfect gift for yourself or someone else!,Strange Planet is a good piece to set along side Calvin and Hobbes on a bookshelf.,0
006297070,Nathan Montague,5.0,"November 27, 2019",true,So h a p p y,"This book has found a permanent home on my livingroom table! It is great for young and old alike- though small children may have a hard time understanding the words, they are sure to enjoy the illustrations.",0
006297070,MLV,5.0,"December 4, 2019",true,You won’t regret it!,"When it arrived in the mail, my sister and I spent an hour pouring over it and laughing together. We had my Dad over, and when he read it he giggled until he had tears in his eyes!",0
006297070,Sean,5.0,"November 23, 2019",true,Perfect for a gift,"An overall wonderful purchase! This book will make a perfect gift any time of the year, whether for birthdays, christmas, or just because. 10/10!",0
195102508,Angie Breault,4.8,"November 27, 2019",true,Great book,Loves this book! For a kid who hates to read he can not put the book down. Arrived fast. Great quality.,0
195102508,Diana M Cius,5.0,"December 3, 2019",true,Would you rather?,I have 2 boys.  Boys are gross.  Boys like gross games.  My boys like this book.,0
195102508,Melissa Young,5.0,"November 1, 2019",true,Great,Hilarious - great little gift,0
195102508,Graeme,5.0,"November 30, 2019",true,Geeat,Fun time for my 12 year old daughter,0
195102508,Nicole,4.0,"November 30, 2019",true,Christmas gift !!!,"My son will love this , cute and funny book",0
195102508,Amazon Customer,5.0,"November 29, 2019",true,Easy to travel with,Good book for boys,0
B07QDKKF1,Melissa P,2.3,"June 3, 2019",false,Unpopular opinion on the season 8,"I know a lof a people hated the last season of GoT. I personally really liked it. Was it the best season of the series? No, not at all. Did it end in way that satisfied me as a viewer? Hell yeah. I absolutely loved the last two episodes. The season does seem a bit rushed, but that was to be expected since the season only has six episodes. Overall, I was not disappointed with the season. It wrapped up all the characters' stories very nicely.",44
B07QDKKF1,K. D.,5.0,"May 26, 2019",false,Don’t waste your money.,"This is how you make viewers wish they had never started watching a series. By ending it like this. Awful, don’t waste your money.",39
B07QDKKF1,Melissa P,1.0,"June 3, 2019",false,Needs some rewrites since Season 8 barely feels developed.,I will get straight to the point here the writing in Season 8 feels haphazard as moments feel they happen out of nowhere and out of no reason other than they can and the lack of proper build up also hurts. 7 Seasons worth of Character development are thrown out the window which is painfully incompetent. On top of that everything just feels rushed. The showrunners should have spent another 2-3 months with the script so it feels properly written without any haphazard and disjointed storytelling with certain scenes happening out of nowhere. You can also tell there was little to no editing due to mistakes involving Coffee Cups and Water Bottles which is hilarious for all the wrong reasons. I am not sure what Benioff and Weiss were thinking releasing Season 8 in this state.,31
B07QDKKF1,K. D.,5.0,"May 26, 2019",false,Worst Season and Finale,"I feel bad for sounding so negative, but as a former huge fan of the show I would highly recommend not buying the season 8 DVD. The reviews on sites like Rotten Tomatoes (48%) and IMdB (4.2/10) speak for itself in how awful the final season was. It was obvious that the creators and writers did not care about the fans or the characters and erased seven seasons worth of character development just to ""shock"" viewers (which didn't work because the plot for the last three episodes was leaked weeks before and a picture from the disgusting finale over a year before) with storylines that did not make sense. The season disgusted me so much that I can't even watch the previous seasons because all of the character arcs/storylines were for nothing. I will not be buying this product. Thank you to anyone who reads this and I hope this was helpful.",25
B07QDKKF1,Christopher Dubois,1.0,"May 22, 2019",false,Best Show Ever!!!,I find it absolutely ridiculous that this is being rated before its release. Furthermore I find utterly distasteful the negative reviews being posted. As such I thought I should add my two cents.,17
B07QDKKF1,Rachel ,1.0,"June 26, 2019",false,J'ai adore les saisons 1 a 7 mais la saison 8 est un vrais fiasco!!!!!!!!!!!!!!!!!!!!!!!!!,I rate this unreleased bluray 5 STARS!!!!!,16
B07QDKKF1,D,1.0,"July 15, 2019",false,A disappointing end,Why? Because this season was brilliant!! Don't listen to the haters.,11
B07QDKKF1,Alain Gilbert,5.0,"July 13, 2019",false,The end is a colossal failure done by incompetent amateurs.,"To those who say it was rushed...I cannot fathom where in the 6 episodes this series was rushed. The first two episodes were verrrrrrry slow....for good reason! Filled with reunions, nostalgia and dialogue...albeit great dialogue. It also reminded me of the first season where it took some time for things to develop. And that build up is worth it because it prepares you for what's to come, in this case episode 3!",9
B07QDKKF1,Matthew,1.0,"June 4, 2019",false,Dont believe the hate!,"Episode 3 was the best episode of the entire 8 seasons!!! The moment we were all waiting for. I have never been on the edge of my seat like I was watching this. And for those saying it was too dark visually...its called the Long Night, like give me a break! I had no issues with it being dark, in fact I didnt even know this was an issue until I read about it online. But what a phenomenal episode it was!! It was beautifully written and expertly executed. Definitely my favourite episode!! And the way episode 3 ends really makes you wonder how they would continue the series, which only brings more suspense to the table.",4
B07QDKKF1,Mr. George S.,2.0,"November 25, 2019",false,The Most Annoying Word. Simple.,"For the last three episodes, and those saying it was poorly written, or completely goes against the script, I found them very satisfying in the sense that Game of Thrones never gives fans what they expect. In fact they usually do the exact opposite. It was satisfying to see things play out the way they did.....albeit unexpected....which makes it that much better!!!",7
B07QDC7GC,Melissa P,2.3,"June 3, 2019",false,Unpopular opinion on the season 8,"I know a lof a people hated the last season of GoT. I personally really liked it. Was it the best season of the series? No, not at all. Did it end in way that satisfied me as a viewer? Hell yeah. I absolutely loved the last two episodes. The season does seem a bit rushed, but that was to be expected since the season only has six episodes. Overall, I was not disappointed with the season. It wrapped up all the characters' stories very nicely.",44
B07QDC7GC,K. D.,5.0,"May 26, 2019",false,Don’t waste your money.,"This is how you make viewers wish they had never started watching a series. By ending it like this. Awful, don’t waste your money.",39
B07QDC7GC,Melissa P,1.0,"June 3, 2019",false,Needs some rewrites since Season 8 barely feels developed.,I will get straight to the point here the writing in Season 8 feels haphazard as moments feel they happen out of nowhere and out of no reason other than they can and the lack of proper build up also hurts. 7 Seasons worth of Character development are thrown out the window which is painfully incompetent. On top of that everything just feels rushed. The showrunners should have spent another 2-3 months with the script so it feels properly written without any haphazard and disjointed storytelling with certain scenes happening out of nowhere. You can also tell there was little to no editing due to mistakes involving Coffee Cups and Water Bottles which is hilarious for all the wrong reasons. I am not sure what Benioff and Weiss were thinking releasing Season 8 in this state.,31
B07QDC7GC,K. D.,5.0,"May 26, 2019",false,Worst Season and Finale,"I feel bad for sounding so negative, but as a former huge fan of the show I would highly recommend not buying the season 8 DVD. The reviews on sites like Rotten Tomatoes (48%) and IMdB (4.2/10) speak for itself in how awful the final season was. It was obvious that the creators and writers did not care about the fans or the characters and erased seven seasons worth of character development just to ""shock"" viewers (which didn't work because the plot for the last three episodes was leaked weeks before and a picture from the disgusting finale over a year before) with storylines that did not make sense. The season disgusted me so much that I can't even watch the previous seasons because all of the character arcs/storylines were for nothing. I will not be buying this product. Thank you to anyone who reads this and I hope this was helpful.",25
B07QDC7GC,Christopher Dubois,1.0,"May 22, 2019",false,Best Show Ever!!!,I find it absolutely ridiculous that this is being rated before its release. Furthermore I find utterly distasteful the negative reviews being posted. As such I thought I should add my two cents.,17
B07QDC7GC,Rachel ,1.0,"June 26, 2019",false,J'ai adore les saisons 1 a 7 mais la saison 8 est un vrais fiasco!!!!!!!!!!!!!!!!!!!!!!!!!,I rate this unreleased bluray 5 STARS!!!!!,16
B07QDC7GC,D,1.0,"July 15, 2019",false,A disappointing end,Why? Because this season was brilliant!! Don't listen to the haters.,11
B07QDC7GC,Alain Gilbert,5.0,"July 13, 2019",false,The end is a colossal failure done by incompetent amateurs.,"To those who say it was rushed...I cannot fathom where in the 6 episodes this series was rushed. The first two episodes were verrrrrrry slow....for good reason! Filled with reunions, nostalgia and dialogue...albeit great dialogue. It also reminded me of the first season where it took some time for things to develop. And that build up is worth it because it prepares you for what's to come, in this case episode 3!",9
B07QDC7GC,Matthew,1.0,"June 4, 2019",false,Dont believe the hate!,"Episode 3 was the best episode of the entire 8 seasons!!! The moment we were all waiting for. I have never been on the edge of my seat like I was watching this. And for those saying it was too dark visually...its called the Long Night, like give me a break! I had no issues with it being dark, in fact I didnt even know this was an issue until I read about it online. But what a phenomenal episode it was!! It was beautifully written and expertly executed. Definitely my favourite episode!! And the way episode 3 ends really makes you wonder how they would continue the series, which only brings more suspense to the table.",4
B07QDC7GC,Mr. George S.,2.0,"November 25, 2019",false,The Most Annoying Word. Simple.,"For the last three episodes, and those saying it was poorly written, or completely goes against the script, I found them very satisfying in the sense that Game of Thrones never gives fans what they expect. In fact they usually do the exact opposite. It was satisfying to see things play out the way they did.....albeit unexpected....which makes it that much better!!!",7
B07T7S4C1,Michelle,4.8,"October 31, 2019",true,"This was not Amazon's fault, Toy Story 4 is really disappointing & boring","It isn't Amazon's fault, Toy Story 4 is really disappointing & boring.  The story line starts out cute, and the rest falls flat on it's face after a few minutes.  They tried to bring in us Canadian's but that also was stupid the way they presented us using the Canadian National Anthem.  That is our view of it.  My friends went to the movie theatre and they had the same rating ~ boring and had lost it's shiny & pleasant side to it.  As I said, it is not Amazon's fault, but this DVD Toy Story 4 was disappointing, boring and dull.",0
B07T7S4C1,Joanna Twaite,5.0,"October 27, 2019",true,This film is funny to watch,"I loved the toy story 4 movie. It was great, it is in English. The movie wonderful to watch. It was funny delightful and adventures you willlove this film. It is great to watch. I love Disney films they are nice to watch.",2
B07T7S4C1,Joanna Twaite,2.0,"October 27, 2019",true,No Disney Outer Sleeve w/ Release,We were disappointed upon arrival of product to discover that it came without the outer sleeve typical of Disney releases. We collect Disney films and expect this with our purchases.  Unfortunate surprise but the product is good otherwise.,0
B07T7S4C1,Michelle,2.0,"October 31, 2019",true,Wow great addition to the Toy Story series. Great for all ages.,Great addition to the Story Collection.  My favourite Toy Story’s DVD 📀 are #1 and #4.  Forky 🍴 is a great new character and the ventriloquist dolls are creepy.  Great for all ages.,0
B07T7S4C1,The Movie Dude,5.0,"November 10, 2019",true,Toys Story 4,Et voilà la série si amusante est encore là.  J' ai prit un immense plaisir à regarder ce film qui est formidable pour les petits comme pour les grands,0
B07T7S4C1,Brazeau,3.0,"October 29, 2019",true,Toy story 4,Toy story movies are always good and this one is no different. It might even be my favourite one enjoy.,0
B07T7S4C1,BourguiMichele,5.0,"November 2, 2019",true,"We laughed, we cried, it was better than Cats",We were thrilled to receive Toy Story 4 a day early. My family went to see this in the theater and as soon as the film was over we knew we had to own it. Disney does not disappoint.,0
B07T7S4C1,Scratch,5.0,"November 10, 2019",true,A voir!!!,"Excellente suite, ce quatrième film et ils sont tous d’excellente qualité.L’histoire très bonne ,l’humour et de l’action, tout y est.",0
B07T7S4C1,Stephanie Standish,5.0,"October 18, 2019",true,Incredible gift,"Amazing movie, kids loved it, they were also able to download it onto their tablets to watch all the time.",0
B07T7S4C1,Ben Mears,5.0,"October 9, 2019",true,Great movie,"I  loved the movie. The story is heart warming, and the visuals are beautiful as usual.",0
B07SZ3TY8,Client d'Amazon,4.8,"November 1, 2019",true,Magnifique,Ce jeu est magnifique! Un vrai plaisir d'y jouer!,5
B07SZ3TY8,frank white,5.0,"November 20, 2019",true,unfair to casual gamers and very clucky controls take away from the fun,"I paid 90$ for this game and i am stuck where you need to fight a ghost boss piano player, tried 5 times i need to restart at the beginning.. this game is unfair to a casual gamer Nintendo shines once more being hypocrite... and making a game harder and more frustrating then it should be.",0
B07SZ3TY8,Client d'Amazon,2.0,"November 1, 2019",true,Not the most fun game,The controls are awful for this game.,0
B07SZ3TY8,frank white,5.0,"November 20, 2019",true,Possibly the Best Luigi’s Mansion Game Yet!,"My 14 year old son wanted this game, and he's already bored with it. Such a shame.",0
B07SZ3TY8,Fallon,2.0,"November 13, 2019",true,Great fun!,The game doubles down on what we liked in the first 2 games and leaves out most of what we didn’t! It is disappointing though that there is there isn’t much use for the gold you collect in game,0
B07SZ3TY8,Amazon Customer,3.0,"November 3, 2019",true,Fast delivery.,Fantastic game with great additions to the Luigi's Mansion repertoire.,0
B07SZ3TY8,Amazon Customer,5.0,"November 20, 2019",true,Good game,"Great, fast delivery! Ready for Xmas!",0
B07SZ3TY8,luv 2 paint,5.0,"November 4, 2019",true,Video game,Good remake of the original,0
B07SZ3TY8,Brian,5.0,"November 3, 2019",true,Awesome,It's so much fun !! I like it. Nice job Nintendo.,0
B07SZ3TY8,Odray,5.0,"November 6, 2019",true,Enjoyable Game,"Awesome!! Great game, great graphics.",0
B07D13QGX,hani,4.7,"August 16, 2018",true,Great PC Minecraft Experience in a Portable Handheld,"Great PC Minecraft Experience brought over to the Nintendo Switch. Glad the game includes the latest 1.13 aquatic update recently released on PC. If you like Minecraft you will surely enjoy this game.One thing I wished the game included though, was multiplayer servers with cross-platform capabilities. Nonetheless, this is just a suggestion and not a complaint.",8
B07D13QGX,Amazon Customer,5.0,"July 2, 2019",true,Most own game,This is a great game for kids. My son loves to be in creative mode. It so cool the different things he makes. Really love how this games really let's a kid use their imagination.,4
B07D13QGX,hani,1.0,"August 16, 2018",true,It's Minecraft,"It's Minecraft. It does come with a free Nintendo texture pack, which is a nice touch. Though buying a new copy of Minecraft for each new system that comes out is getting a little old.",4
B07D13QGX,ben,5.0,"January 2, 2019",true,Product Does Not Work,"Don't buy this video or at least from this vendor. I purchased this product in April for my son's birthday in June and when he went to play it, it was a blank/black screen.",2
B07D13QGX,Zach Crawford,5.0,"January 8, 2019",true,"Great Game, and Popular too.","My deadline to return this product was in May, so now we are stuck with a video game that does not work.",3
B07D13QGX,Amazon Customer,5.0,"July 2, 2019",true,Just want she wanted.,"This game is a great addition to the Nintendo Switch games library. Though to play online its a bit weird, because you must have a Nintendo Account and a Microsoft Account. The entire procedure was somewhat confusing.",3
B07D13QGX,NT,1.0,"October 19, 2019",true,Game is super fun but has some software problems,"I tried setting up my son for online gaming so he can play with his school friends and it hasn't worked out quite well, not to mention the cost for subscription needing to play online.",0
B07D13QGX,Sandra Bradley,5.0,"January 7, 2019",true,Great Minecraft Game,Hopefully Nintendo comes out with a better method instead of charging a monthy fee.,0
B07D13QGX,Muhammad,5.0,"October 22, 2019",true,LOVE IT!!!!!,I bought this for my granddaughter for Christmas. She love sit and is even sharing with her brother. Love the games that allow them to both be on the machine together.,0
B07D13QGX,bhc168,3.0,"August 9, 2018",true,Smart game,"Minecraft for the nintendo switch is just amazing but has a lot of problems. The game constantly has an error that says ""A software error has occured"" but then when you restart your game or switch the game works fine. Also the game lags randomly sometimes or even consistently which is annoying but you really enjoy the game when it works fine. You can take it anywhere to play at all times which is fun. Plus the price of the game is pretty cheap. Overall Minecraft for the nintendo switch is fun to play but has a couple of software problems that come with it and if your willing to deal with it then its really fun to play.",0
B07SXJCVZ,That Review Guy,4.8,"November 15, 2019",true,It's Pokémon! Enough said.,"Played 6 hours today. Absolutely LOVE this game. A fully 3D world of Pokemon on my 70"" TV?",4
B07SXJCVZ,Ryan L,5.0,"November 23, 2019",true,POKEMANS!!!,Who cares if they cut out some of the national dex. It's pokemon! My2 year old watched and played some with me and absolutely loved it. The colors in this game really pop in my screen at least.,2
B07SXJCVZ,That Review Guy,2.0,"November 15, 2019",true,Finally a FANTASTIC home Pokemon game!,Will update soon with a more in depth review when I've played and beat more of the game. Cheers!,0
B07SXJCVZ,Matthew V.,5.0,"November 20, 2019",true,Worst online in any Nintendo game,"I mean the game is pretty easy... you don't even need to force your small furry companions to engage in mortal combat for your enjoyment if you aren't into that kind of thing. You can just go around throwing different balls at animals entrapping them like some kleptomania crazed child. They seem to be running out of names for things since most of the ""pocket monsters"" in this game look exactly like what they are. Take for example ""Combee"" which is literally a honeycomb with bees in it... Reaaaaalllll original Nintendo! If you can get over the fact that if you just literally walk from place to place catching pokemon and levelling up your whole squad untill they are so beefy they can one-hit assassinate anything you come across you will probably beat the game fairly easily... but like... POKEMANS!!!",3
B07SXJCVZ,Daniel Navia,5.0,"November 22, 2019",true,Badass,"Absolutely fantastic.  Been waiting ages for an ""actual"" Pokemon game to hit a home console and couldn't be happier.  I've just started it but so far its really fun.  Lots of pokemon to catch, and the graphics are stunning both in handheld and TV mode.  My wife and I have been loving it thus far and cant wait to complete it",0
B07SXJCVZ,Ryan L,5.0,"November 23, 2019",true,"Brand new, came two days after release💚","The online in this game is absolutely horrible. Easily the worst online experience(Yes worse than smash ultimate online). The ycomm is slow to load, there is no option to trade/battle with freinds for easy access, and the trading feature doesn't work or is plagued with spammers and bots.",0
B07SXJCVZ,Jesse Daze,2.0,"November 18, 2019",true,Good game but too easy ?,"So far game's decent, first pokemon game I've owned. Your ""rival"" as far as early game goes is some kid with nerve damage going on about being a legend and generally likes throwing himself into oncoming farming equipment, but otherwise the game's pretty awesome. I even like the animation where abilities like tailwhip just makes your pokemon with all of its three bones in its model spin around on the X axis, it's pretty cute.",0
B07SXJCVZ,The corrupted one,5.0,"November 28, 2019",true,Super happy to have both now!,"Going to be playing the hell out of this game, I know it, I don't even care if they keep out that one pokemon made out of literal garbage, I can live with the 400 they already have in the game, lol.",0
B07SXJCVZ,Michel-pierre Marinier Seguin,5.0,"November 29, 2019",true,Amazing Pokemon Game,Love the game! Won’t ruin anything for those who haven’t played yet - but there are new Pokémon (of course!). You can customize your character (yay! No more hat!). And what’s super nice - after you beat the game there is a after game “mission” to do! The only thing i’ll Say that won’t be much of a spoiler - I love piers💚 he’s my fave!,0
